"caller","callee","timestamp","duration"
"089-1000000","089-1000077","2016-01-19 15:25",450.0
"089-1000000","089-1000095","2016-02-24 09:20",98.0
"089-1000000","089-1000117","2016-01-19 10:01",186.0
"089-1000000","089-1000160","2016-2-7 11:21",24.0
"089-1000000","089-1000261","2016-1-1 1:09",321.0
"089-1000000","089-1000275","2016-01-19 01:33",121.0
"089-1000000","089-1000303","2016-01-14 13:15",137.0
"089-1000000","089-1000390","2016-01-31 02:58",15.0
"089-1000000","089-1000390","2016-01-31 02:58",69.0
"089-1000000","089-1000398","2016-01-19 14:01",35.0
"089-1000000","089-1000004","2016-02-19 10:20",6.0
"089-1000000","089-1000060","2016-02-21 22:51",135.0
"089-1000000","089-1000066","2016-1-3 22:05",918.0
"089-1000000","089-1000077","2016-01-19 15:25",38.0
"089-1000000","089-1000095","2016-02-24 09:20",52.0
"089-1000000","089-1000117","2016-01-19 10:01",251.0
"089-1000000","089-1000120","2016-2-6 15:42",97.0
"089-1000000","089-1000160","2016-2-7 11:21",35.0
"089-1000000","089-1000297","2016-01-30 16:02",538.0
"089-1000000","089-1000398","2016-01-19 14:01",111.0
"089-1000001","089-1000198","2016-01-22 23:46",410.0
"089-1000001","089-1000214","2016-01-28 15:25",251.0
"089-1000001","089-1000235","2016-01-19 16:48",77.0
"089-1000001","089-1000245","2016-1-11 2:12",50.0
"089-1000001","089-1000249","2016-2-7 3:06",227.0
"089-1000001","089-1000308","2016-01-31 05:19",96.0
"089-1000001","089-1000323","2016-01-31 20:25",258.0
"089-1000001","089-1000335","2016-02-25 18:08",418.0
"089-1000001","089-1000411","2016-2-4 6:23",39.0
"089-1000001","089-1000411","2016-2-3 18:51",255.0
"089-1000001","089-1000411","2016-2-4 6:23",49.0
"089-1000001","089-1000447","2016-01-30 20:43",708.0
"089-1000001","089-1000108","2016-2-4 3:03",368.0
"089-1000001","089-1000445","2016-01-31 12:22",802.0
"089-1000001","089-1000198","2016-01-22 23:46",707.0
"089-1000001","089-1000308","2016-01-31 05:19",798.0
"089-1000001","089-1000388","2016-01-24 02:15",245.0
"089-1000002","089-1000000","2016-01-17 06:21",38.0
"089-1000002","089-1000056","2016-02-18 18:42",211.0
"089-1000002","089-1000098","2016-2-4 1:43",69.0
"089-1000002","089-1000195","2016-02-28 11:14",33.0
"089-1000002","089-1000235","2016-02-20 16:33",93.0
"089-1000002","089-1000248","2016-02-24 23:21",216.0
"089-1000002","089-1000252","2016-01-14 12:44",219.0
"089-1000002","089-1000262","2016-02-13 21:49",530.0
"089-1000002","089-1000269","2016-1-6 19:02",211.0
"089-1000002","089-1000276","2016-01-16 09:20",163.0
"089-1000002","089-1000299","2016-01-24 09:58",25.0
"089-1000002","089-1000374","2016-02-22 20:29",43.0
"089-1000002","089-1000379","2016-01-19 04:29",6.0
"089-1000002","089-1000379","2016-01-19 04:29",8.0
"089-1000002","089-1000479","2016-01-21 12:36",481.0
"089-1000002","089-1000499","2016-1-8 0:01",7.0
"089-1000002","089-1000012","2016-1-4 12:22",41.0
"089-1000002","089-1000098","2016-2-4 1:43",136.0
"089-1000002","089-1000098","2016-2-4 1:43",7.0
"089-1000002","089-1000111","2016-01-22 03:39",69.0
"089-1000002","089-1000127","2016-02-23 19:24",268.0
"089-1000002","089-1000185","2016-01-22 09:38",167.0
"089-1000002","089-1000195","2016-02-28 11:14",14.0
"089-1000002","089-1000248","2016-02-24 23:21",296.0
"089-1000002","089-1000000","2016-01-17 06:21",42.0
"089-1000002","089-1000226","2016-02-14 23:37",283.0
"089-1000002","089-1000499","2016-1-8 0:01",137.0
"089-1000002","089-1000379","2016-01-19 04:29",16.0
"089-1000002","089-1000374","2016-02-22 20:29",47.0
"089-1000002","089-1000225","2016-01-29 20:12",292.0
"089-1000003","089-1000028","2016-01-18 06:47",9.0
"089-1000003","089-1000028","2016-01-18 06:47",20.0
"089-1000003","089-1000109","2016-1-7 2:29",373.0
"089-1000003","089-1000139","2016-01-14 21:36",365.0
"089-1000003","089-1000141","2016-01-28 19:45",242.0
"089-1000003","089-1000163","2016-02-25 17:33",153.0
"089-1000003","089-1000168","2016-1-1 20:48",14.0
"089-1000003","089-1000306","2016-02-17 06:09",579.0
"089-1000003","089-1000462","2016-1-6 9:47",20.0
"089-1000003","089-1000028","2016-01-18 06:47",2.0
"089-1000003","089-1000168","2016-1-1 20:48",106.0
"089-1000003","089-1000181","2016-01-19 08:01",226.0
"089-1000003","089-1000364","2016-2-8 5:57",450.0
"089-1000004","089-1000005","2016-2-8 10:49",39.0
"089-1000004","089-1000043","2016-01-16 16:59",107.0
"089-1000004","089-1000154","2016-02-26 12:54",10.0
"089-1000004","089-1000275","2016-01-29 18:07",647.0
"089-1000004","089-1000288","2016-01-20 17:45",704.0
"089-1000004","089-1000399","2016-1-11 5:53",243.0
